Total Employees as of 01/2020,Number of Workers Laid Off,Impact Start Date,Why funding is critical to business_analysis
8,8,3/17/2020,"Due to schools, construction closures the business has had reduced calls for repairs on equipment and trucks. Is rotating the layoff with the staff so they all have a chance to have a little income."
9,9,3/24/2020,"No ability to make income to cover expenses; funds used for utilities, insurance, loan payments"
4,5,3/27/2020,"Because 90% of business have been shut down due to the stay at home order, we are not getting any new business or able to complete jobs already started.  We are not getting ANY from the general public as they are not allowed to leave for non-essential business.  "
5,2,3/11/2020,I have completly shut down my office. We kept only 3 employees but hope to rehire the other 2 laid off. All rent and utilites utilties and equipment loans are continuing to be paid with working capital. We will need a working capital line of credit next month.
8,3,3/22/2020,"Loss of $65K; Funds will pay overhead costs - rent, utility, marketing"
2,2,3/15/2020,"Specialty food manufacturer, focusing on Walla Walla Sweet Onion Mustards.  Sales through brokers to local markets are down 85% in April and May"
4,0,3/16/2020,The crisis has caused the business to delay or cancel significant revenue generating events traditionally held each spring. The cash flow from those events is what sustains the business in the months leading up to August. Sponsorship is also a significant funding mechanism and those channels have gone mostly quiet. 
4,0,3/23/2020,"Business is considered essential and is still open with all employees, but business has dropped and surgical caseload is down 90%. Still have expenses associated w/ business: rent, utilities, drug/ supply companies, etc."
9,9,3/13/2020,"With COVID-19 they are not able to provide the needed therapy to their clientele. Need the emergency funding for rent, marketing & training of therapists on post COVID-19 health precautions. With a 2 month shut down it is going to be tough to have the funds to get new clients to reestablish the business."
6,4,3/23/2020,"$10K lost revenue, business closed; funds used for mortage, utilities, classroom materials, insurance"
7,7,3/1/2020,"Funding is critical to fade2perfection to keep business going like it was before we had the shut down we want to return to our customers, career & future. "
6,3,3/23/2020,"$15-$25K lost revenue, have had to close to the public; funds used to pay supplier, insurance, utilities, lease, and any unforseen expenses"
5,4,3/15/2020,"Revenue loss of 28.5%.  40% of annual income comes in March, April and May.  March sales reduced by 60%, April by 100%.  Funds will pay for rent, utilities and operating expenses."
8,8,3/16/2020,"Rent, working capital, cost of goods/supplies; $90,000 in revenue expected to be lost in April"
10,9,3/23/2020,"Totally shutdown with zero income, down $20-$25K in revenue; funds used for operating expenses, inventory, marketing"
8,6,2/7/2020,Loss of $120K; lost almost all income for the future due to cancellation of events. Funds will be used to keep staff employed and open up a new art gallery in Kennewick.
5,5,3/24/2020, This is our only income. This would help us renew our contractor insurance and pay our mortgage. 
4,0,3/24/2020,"Loss of $30K in revenue, stay home order impacting construction business; funds will pay for operating expenses "
4,7,3/16/2020,"Loss of $39k in revenue, stay home mandate affected business, Due to social distancing, we are unable to provide in-store food/alcohol services, which is the main source of our revenue, causing a large revenue impact.  Funds will pay for operating expenses - insurance, inventory, supplies, and utilities."
8,0,3/15/2020,"Allow to focus on customer/staff safety, payroll, internet"
6,5,3/18/2020,"Only providing emergency services; funds used to replace dental supplies which will have expired, marketing expenses, rent"
7,7,3/10/2020,"Sales are down by 80%. On average we make $1,200.00 a day and currently the best day we've had we made $280.00. I had to lay off all of my employees. The funds would help me pay my utility bills, rent, and food products. Without this grant I am afraid I will have to close my doors for good. "
12,12,3/27/2020,"Loss of Revenue of $70K; residential clients cancelled; funds will be used to pay for lease, utility bills, marketing tools, business operational tools, all key expenses to be able to stay in business"
4,6,,"We've had to pay off all healthcare staff, stop paying utilities and rant, and stop ordering medical equipment. Funds would pay for rent, utilities, medicial supllies and critical training. "
3,3,3/25/2020,"Due to business closing per the Governor's Directive, we have lost sales income up to date of approximately $35k-$40k.  "
4,0,3/16/2020,"Office is closed, staff working remotely, $35K loss in revenue; funds used for rent, utilities, advertising"
17,17,2/1/2020,"Revenue down $7132.67; unable to hold sales event and lost out on a projected revenue of $150,000; funding will pay for rent, utilities, internet, and work stations for employees who work from home."
5,5,3/12/2020,"Revenue loss of $16.5K; non-essential business - construction; funding will help cover expense obligations for website, utility bills, rent, supplies, outstanding invoices."
4,4,3/16/2020,"As a beauty industry we deal with touching hands and skin, very easy to get COVID-19, we are the first industry to get hit hard; funds used to pay rent and workers"
1,6 PT,3/17/2020,"Loss of $11,500/month, Closed for business, revenue comes from paying members on a month to month basis, have lost 50% of clients; Funds will pay for rent and utilities."
4,0,3/16/2020,"47.82% decrease in revenues; the funds can be used to help pay for rent, utilities, and various operating expenses."
6,3,3/9/2020,"Q1 was down $20k; funds would go towards insurance, vehicle, marketing/dealer program, general operating costs"
2,3,3/20/2020,"Revenue loss of $50K; business completely shut down due to the mandate for construction businesses.  Projects lined up for April - July have been postponed.  Funds will be used for utilities, rent, inventory, securing jobs sites."
10,10,3/17/2020,"Income reduced to zero; funding used for rent, utilities"
3,0,3/1/2020,Residential business dropped by 50%; funds used for fixed operating expenses
2,2,3/15/2020,"Business-business industry, unable to service existing accounts or generate new business; funds used for rent, utilities, recruiting service"
9,1,3/20/2020,"Loss of $149K in revenue; we are still providing services to essential infrastructure businesses.  Farmers and motor carriers are having a difficult time paying right now on outstanding balances and current balances.   Funds will pay for Vendor invoices, rent and operating expenses."
3,2,3/23/2020,Revenue loss of $40K; being a small family operated repair shop we serve other small family operated trucking companies and agriculture companies to ensure the continued operation of their trucks and equipment. Keeping our doors open keeps us able to provide those services. Given the nature of our business it has ebbs and flows in the demand of work. This grant would contribute to ensuring that we are able to continue to operate through these hard times and ensure we are able to continue to service others and keep them operating as well.
6,6,3/26/2020,$0 income in past two weeks; funds used for paying outstanding invoices and other bills
2,1,3/14/2020,"All March/April events cancelled; funds would enable deposit refunds for cancelled events, as well as cover overhead expenses"
7,7,3/17/2020,"WE HAVE BEEN MANDATED TO CLOSE OUR SALON. DURING THIS TIME WE ARE ALL NOT MAKING ANY MONEY AND CANNOT PAY ANY BILLS. AS A SALON OWNER, I NEED TO PAY RENT AND MANY UTILITIES, AS WELL AS EMPLOYEES TO KEEP OUR BUSINESS IN GOOD STANDING FOR WHEN WE RETURN. WE ARE DEVASTATED NOT KNOWING IF WE WILL HAVE A JOB. "
2,2,2/20/2020,"Revenue loss of $18K; funds will cover rent, utilities and supplies"
4,4,3/25/2020,Zero income due to stay home order
4,2,3/1/2020,"100% drop in phone calls & appointments, unable to work on jobs currently under contract or meet/establish new clients; funds used for rent, utilities and insurance, marketing"
6,6,3/7/2020,"All events cancelled, revenue down $75,000"
35,28,3/1/2020,Revenues down $3M; can only sell vehicles to essential workersl funds will be used for essential bills such as electricity and utilities.
3,0,2/1/2020,"Stay at home order has prevented the ability to do business; funds will go to paying lease and operating expenses - CPA, utilities, reoccuring bills"
3,3,3/15/2020,We have stopped all operations and are only working on emergency repairs; funds will go for marketing and business consultations
1,0,3/16/2020,Sales down 50%; funds used for all business expenses for store to remain open
3,3,3/25/2020,"Not allowed to work on projects, long-term company effects; funds used towards utilites, project management training, consulting, etc."
5,0,3/13/2020,"Revenue loss of $77,644.26; projected loss is approximately $108K; Funds received would be used to cover cost of rent, utilities, property taxes, standard facility & equipment maintenance and supplies, material and inventory required to conduct business. Remaining funds may also be used to cover the cost of marketing contracts already in place."
1,1,3/16/2020,"Projected loss of $12K; Rents space to 7 other stylists, those individuals would also be without jobs; funds used for rent, utilities, insurance, safety improvements"
2,2,3/17/2020,"Currently have zero revenue due to closures; funds used for building, utilities, equipment payments, and supplies"
3,3,3/15/2020,"Revenue down 62%; non-essential business; closed during busy season; funds used for payroll, rent, utilitles, business insurance"
3,3,3/18/2020,"Completely closed; funds used for rent, utilities, keeping family healthy"
2,2,3/17/2020,"Revenue loss of $6k; non-essential business; funds will pay for rent, utility bills and supplies."
3,2,3/22/2020,"Seasonal business, funds will help in paying rent, utilities, cost of goods and advertising."
2,1,2/15/2020,"Operating with limited hours, have had to cancel all demonstration; funds used for rent, utilities and marketing expenses"
3,1,3/16/2020,"Revenue loss of $10K; stay at home order has prevented meeting with ""super senior"" clients, unable to meet new clients; funds will be for utilities only"
1,1,3/16/2020,"All events cancelled or postponed, food truck closed; funds used for marketing, supplies, utilities"
5,0,3/10/2020,"Gas station business has been greatly effected due to lack of foot traffic. Ours sales have dropped in more than half and our bills still remain the same.  The funds are very critical and will help us not to go out of business. The funds will help us in not loosing our employees as the money will go towards our expenses such as utility, supplies for the store and operational expenses."
2,2,2/15/2020,"Forced to cancel all classes, camping, and not able to offer on-site u-pick of fruit & vegetables"
2,2,2/15/2020,"Forced to cancel all classes, camping, and not able to offer on-site u-pick of fruit & vegetables"
3,2,1/1/2020,"Will need to start from zero finding new jobs; funds used for rent, supplies and equipment needed to restart"
4,0,2/15/2020,"Sales down 80%, landlord not willing to work with company; funds used to cover rent, expenses"
4,2,3/10/2020,Had to close and lay off 2 employees. Still can't afford the rent and utilities and have no other way of making income.
3,0,3/13/2020,"Revenue down $10K, had to close office, eliminating any customer traffic.  "
3,0,3/1/2020,"50% reduction in income, not  open to the public and volume of products greatly diminished; funding is critical to pay bills, payroll and other operating expenses"
1,1,3/23/2020,"Funds used for insurance payments, outstanding vendor invoices, office supplies, etc."
2,1,3/30/2020,Impact will not occur until 2nd Qtr; volume has reduced by more than half; funds will pay for vendors
1,0,3/10/2020,"Was making approx $5,000 per mo - now making $180 month;This crisis has really taken a toll on my business. I was making around $200-$300 per day on ad sales an d by selling printable baby shower games. Since the pandemic hit, my earnings are around $5 per day. No one is planning a baby shower due to the social distancing, so my website traffic has decreased by 90%. I plan to use the money to pay monthly operating expenses, utilities, etc."
5,2,3/15/2020,"Loss of Revenue of $50K; loss of all patients; funds will be used for rent, marketing and supplies"
1,1,3/5/2020,Revenue loss of $4K; funds to pay for rent and utilities to keep business going.
1,1,3/1/2020,"$6K estimated revenue loss; without funds will be forced to close, funds used towards rent, utilities, etc."
1,0,3/14/2020,"Business completely closed; funds used to pay utilities, insurance, living expenses"
2,2,2/7/2020,Funding is critical to my business in order for it to be able to start up as soon as businesses are able to open.  We mostly provide our service to car dealerships and they will seek to us to begin their auto detailing and mechanic work.
2,1,3/26/2020,"Future projects are scarce, all current projects cancelled; funds would to towards rent, utilities, business expenses and supplies"
2,3,3/23/2020,"Funds are needed for rent and utilities, anticipate slow recovery process once allowed to reopen"
1,1,3/16/2020,"Moving forward, the impact will result in a loss of $8,000 per month. As a self employed private investigator, I am unable to conduct any field investigations causing lack of income to support business activities and personal finances. The impact of the health crisis has eliminated the ability to generate income.  Allocated funds will cover business and personal expenses for 4 weeks.  Funding is critical to cover reoccurring business expenses, mortgage, health insurance, utilities, and basic living necessities. "
2,0,3/1/2020,Losing all golf product sales and new R&D projects
2,2,3/24/2020,Close order has impact not being able to offer serviceswhich has impacted the business financially; the funds would help them to remain opena nd offer services to their clients who have been with them for 22 years and keep them employed; funds would cover basic business expenses
2,2,3/3/2020,"Revenue loss of 61%; unable to clean clients homes, operating expenses and purchasing of new cleaning supplies"
1,1,3/16/2020,"Been unemployed since 3/16/20 when business closed, leases space at Luxe Salon; funds used for rent, utilities, supplies"
2,2,3/24/2020,"Revenue loss of $20K.  Funds will be used to pay for rent, utilities, consulting, supplies and inventory, and employee wages."
2,2,3/10/2020,"All clients have cancelled appts, revenue down $4K month; funds used for rent, utilities, salaries"
1,1,3/16/2020,"Mandatory shutdown until 5/5, funding would help pay lease, business supplies, utilities, insurance"
2,1,3/15/2020,"Loss of Revenue of $14K; funds will be used for rent, supplies/inventory, operating expenses"
1,0,3/11/2020,"Income is needed to pay for maintenance, marketing; business has been completely shutdown due to no gatherings"
2,0,3/16/2020,"Won't know true impact until Q2, sales have slowed down; funds used for rent, utilities, inventory, wages"
1,1,3/10/2020,"Revenue down 10%; funding will help business with rent, continuing education to retain certification, purchase inventory"
1,1,3/16/2020,"Revenue loss of $12K, I am not able to work because of the Stay Home and Stay Safe order.  The funds will be used to pay rent to my landlord and keep my utilities on so I can continue to communicate with my clientele."
2,0,3/10/2020,"Revenue loss of $25K; funds will pay for mortgage, insurance, utility bills, and inventory"
3,0,2/1/2020,Loss of revenue of 80%; lost sales of labor and sales of products; funds will pay for vendor inventory and utilities.
1,0,3/15/2020,"Loss of $25K gross profit due to construction shutdown; funds used for insurance, rent, fuel, marketing for future jobs, materials"
3,3,3/24/2020,"Revenue down 25%; Since the covid-19 outbreak, we have been unable to haul any produce out of state or in state.  In order to keep our company from closing down permanently, we need help paying for the insurance during this state wide shutdown. We are an essential business that provides services to the public by providing transportation to local grocery stores and distribution centers."
3,1,3/16/2020,"Funding salaries, utilities, pay rent"
2,2,3/13/2020,"Q1 generates the lowest quarterly revenue total due to the increased revenues generated by spring and summer weddings.  With the cancellations due to quarantine, the upcoming Q2 and Q3 will be drastically lower.  Last year (2019), we generated $18,650 in Q2 and $29,995 in Q3.  Weddings for this time period in 2020 have been canceled. Funding supports my overhead costs (facility costs on monthly payment plans, technology maintenance, website marketing, equipment maintenance, etc.). Additionally, we have cut spending (payments) to our contracted photo editors and video producers."
1,0,3/11/2020,"Q1 loss of $2595, Estimated loss of $3k for April; funding would pay mortgage and utilities, and go towards online trainings"
2,1,3/23/2020,"Business closed, owner and assistant out income, although business is closed, building space rent, utilities and operating expenses still have to be paid; funds used for business space rent, utilities and supplies"
1,1,3/16/2020,"Revenue down $7K, non-essential retail business; All funds would be used to keep the business open. Rents, utilites, water, garbage, electricity, alarm, phone, internet, web site, accountant, any help would completely go to the expenses for the business. and inventory if possible."
1,1,3/13/2020,"Business completely closed, all bills currently in default due to being the sole proprietor; funds used towards rent, auto, utilities, supplies"
1,1,3/10/2020,"3/10 was last day of work, all jobs cancelled; funds used for marketing, insurance, repair equipment, vehicle payments"
1,0,3/18/2020,I'll be forced to shutdown my business due to the circumstances as I will not be able to pay rent
1,0,3/27/2020,Current contract was completely shut down for 2 weeks due to COVID 19 and this affects my ability to pay outstanding debts.
1,0,2/20/2020,"Travel based business; funds used for rent, utilities, advertising contracts, client refunds"
1,1,3/1/2020,"Job sites being closed has prevented unloading of current load, necessitating rental fees for flatbed; Funds used for fuel payments, utilities, lot rental"
1,1,3/16/2020,"Independent booth renter; funds used for rent, supplies, marketing, products"
0,0,3/12/2020,"Pay utilities, rent, pre-purchased inventory"
1,1,3/31/2020,Consumers are hesistant to invest; funds would be used to assist in paying expenses during these difficult times
2,0,3/23/2020,"Since the stay at home order was placed and construction has been deemed non essential by the state, we are unable to generate the income needed to cover our overhead costs during this time. This business is our sole source of income and depends on a thriving construction industry."
1,1,3/16/2020,"$20k loss in revenue; funds would pay rent, utililties, phone, insurance and salary"
1,0,3/16/2020,"Less available loads, rates are cheaper, need to pay loans"
1,0,4/3/2020,Most of the products we transport are construction goods. With construction shut down we find ourselves out of work.
2,2,3/29/2020,"Estimated loss of $5,753; non-essential business - construction; The company's operation has halted, however the company's operational expenses have not. The
company is responsible in maintaining insurances, bonds, vehicles, utilities, advertising, maintenance and
tax liabilities."
1,0,3/20/2020,"Revenue loss of $15K; funds will pay rent, supplies and utilities to keep business open"
